Usuarios_AM,Novedad
57,1
84.75,1
122.8,1
143.8,0
158.8,0
170.6,0
159.2,0
162.8,0
164,0
173.2,0
171.2,0
169.5,0
175,0
159.8,0
61,1
167.2,0
163.8,0
160.2,0
164.2,0
173.6,0
169.4,0
164.75,0
166.8,0
159.4,0
143,0
153.25,0
160.75,0
165.8,0
162,0
172.6,0
164,0
160.6,0
164,0
160.4,0
163,0
165.4,0
158.4,0
165.2,0
169.4,0
160.4,0
152.2,0
152.25,0
163.6,0
161,0
158.5,0
162.25,0
166.8,0
157.2,0
131.5,0
159.2,0
114.8,1
83,1
72,1
88,1
132.8,1
153.6,0
170.6,0
170.6,0
166,0
166.2,0
170.4,0
175.6,0
173.4,0
162.5,0
165.6,0
65.33,1
166.2,0
172.6,0
175,0
167.25,0
165.8,0
167.6,0
170.5,0
162.8,0
154.2,0
163,0
157.5,0
156.8,0
157.25,0
158.2,0
138.75,0
165.8,0
162.8,0
163.5,0
171.8,0
164.25,0
168.6,0
161.2,0
164.8,0
170.8,0
161.2,0
164.4,0
159.2,0
161.5,0
167.8,0
162,0
159.25,0
157.5,0
149.4,0
150.6,0
127.25,1
159.2,0
115.4,1
113.33,1
59,1
74.5,1
116.8,1
130,1
139.4,0
127.2,1
160.6,0
158.6,0
157,0
157.2,0
156.8,0
152.6,0
129,1
150.8,0
163.33,0
